,name,tag,stars,created,forks,releases,commits,contributors,pushed,crawl_last_updated
92,zeek/zeek,secumon,5344,2012-07-06 20-30-16,1149,64,15325,136,2023-07-18 23-14-55,2023-07-19 11-32-36
93,zacharywhitley/awesome-ocr,imageocr,659,2019-07-23 14-54-48,96,0,156,4,2023-06-15 21-09-30,2023-08-10 10-21-45
94,hwalsuklee/awesome-deep-text-detection-recognition,imageocr,2470,2017-11-30 05-43-19,517,0,48,5,2021-08-10 07-54-23,2023-08-02 20-48-17
95,whitelok/image-text-localization-recognition,imageocr,924,2017-02-09 07-41-41,239,0,161,4,2022-07-24 09-51-24,2023-08-08 03-14-41
96,chongyangtao/Awesome-Scene-Text-Recognition,imageocr,1653,2016-07-07 13-39-08,417,0,27,8,2018-07-30 08-05-09,2023-08-07 09-45-57
97,mindee/doctr,imageocr,2010,2021-01-08 16-05-12,276,12,734,35,2023-08-10 11-24-59,2023-08-11 11-33-18
98,JaidedAI/EasyOCR,imageocr,19091,2020-03-14 11-46-39,2724,21,600,107,2023-08-08 00-24-07,2023-08-10 23-34-08
99,weinman/cnn_lstm_ctc_ocr,imageocr,495,2017-06-02 09-36-41,174,0,218,7,2021-10-16 14-40-29,2023-08-08 09-02-41
100,danwald/pytextractor,imageocr,42,2019-02-23 16-00-07,18,0,68,2,2022-12-05 14-51-47,2023-08-09 23-23-11
101,deepinsight/insightocr,imageocr,100,2018-06-21 11-21-13,38,0,13,2,2018-09-17 09-08-48,2023-08-03 03-41-32
102,isi-vista/textDetectionWithScriptID,imageocr,7,2018-04-24 21-24-08,5,0,39,2,2018-10-30 06-58-28,2023-08-03 00-50-51
103,StamusNetworks/SELKS,secumon,1036,2014-05-15 13-13-50,250,1,530,8,2023-07-03 18-58-34,2023-07-19 11-34-01
104,StamusNetworks/scirius,secumon,559,2014-05-04 19-15-32,146,24,3339,14,2023-06-26 09-02-03,2023-07-19 22-46-59
105,jasonish/evebox,secumon,369,2014-05-22 21-14-36,68,25,1693,5,2023-07-07 23-12-20,2023-07-19 11-33-39
106,wazuh/wazuh-packages,secumon,63,2017-04-21 21-46-13,64,24,6251,75,2023-07-19 17-14-38,2023-07-19 19-36-01
107,cedricbonhomme/pyHIDS,secumon,36,2013-12-02 20-21-21,13,1,135,1,2023-07-20 09-09-53,2023-07-20 21-52-12
108,alphasoc/flightsim,secumon,918,2018-01-10 12-31-31,119,15,163,7,2023-07-11 06-32-24,2023-07-20 04-44-02
109,alphasoc/nfr,secumon,118,2017-01-06 11-03-25,19,31,201,7,2023-03-06 22-38-52,2023-07-28 23-26-12
110,The-Art-of-Hacking/h4cker,pentest,14076,2017-06-19 17-11-19,2400,0,3367,17,2023-07-12 18-56-38,2023-07-19 21-46-28
111,vitalysim/Awesome-Hacking-Resources,pentest,13644,2017-10-10 19-09-18,2023,0,279,57,2022-08-22 09-10-41,2023-07-19 21-40-35
112,t3l3machus/Villain,pentest,2350,2022-10-25 22-02-59,394,0,104,1,2023-01-20 08-58-54,2023-01-27 14-03-32
113,OWASP/Nettacker,pentest,2497,2017-04-21 12-14-35,650,10,2248,38,2023-07-31 22-25-40,2023-08-08 07-05-00
114,frizb/Windows-Privilege-Escalation,pentest,703,2017-05-12 13-09-50,184,0,73,1,2020-03-25 22-35-02,2023-07-20 11-04-48
115,arch3rPro/PentestTools,pentest,661,2018-09-08 10-25-48,169,0,460,1,2023-07-06 02-06-08,2023-07-20 04-44-21
116,whiterabb17/sifter,pentest,62,2021-09-07 10-08-33,14,0,39,1,2022-11-23 15-15-37,2023-08-12 03-42-10
117,hackThacker/advtools,pentest,10,2021-11-19 11-04-19,3,0,162,1,2023-05-21 03-37-30,2023-07-21 11-57-35
118,rcallaby/Hacking-Study-Guide,pentest,6,2022-07-25 00-38-00,3,0,127,2,2023-07-05 14-37-40,2023-07-06 08-42-50
119,gotr00t0day/Gsec,pentest,34,2022-07-17 14-54-57,11,31,244,1,2023-08-09 13-10-45,2023-08-12 18-00-59
